"Child vaccination rates"
"% of children under 1 year old, 2014"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Japan",102.9,97.5
"Hungary",99.9,99.8
"Greece",99.5,97
"Luxembourg",99,99
"Germany",99,96.7
"Belgium",98.9,96
"Poland",98,97
"Austria",98,96
"France",98,91
"Finland",98,96
"Portugal",97.8,98
"Korea",97.8,96.5
"Czechia",97.2,99.4
"Sweden",97,97
"Slovak Rep.",96.8,96.6
"Spain",96.6,96.1
"Türkiye",96,94
"Netherlands",96,95.5
"Ireland",95.5,93
"United States",95,92
"Switzerland",95,94
"United Kingdom",95,93
"Israel",95,97
"Slovenia",95,94
"Italy",95,87
"Chile",94.7,96.7
"Estonia",93.3,93.4
"Norway",93,94
"Lithuania",92.9,93.4
"New Zealand",92.7,92.6
"Latvia",92,95
"Australia",91.6,94.4
"Costa Rica",91.4,95.4
"Denmark",91,87
"Canada",91,90
"Colombia",90.3,91.3
"Iceland",90,90
"Mexico",86.9,97.8
