"Child vaccination rates"
"% of children under 1 year old, 2015"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Hungary",99.8,99.9
"Greece",99.5,97
"Luxembourg",99,99
"Germany",99,96.8
"Belgium",98.8,96
"Korea",98.1,98.1
"Poland",98,96
"Sweden",98,98
"Portugal",97.9,98
"Finland",97.2,95
"Türkiye",97,97
"France",97,91
"Spain",96.5,96.1
"Japan",96.2,95.5
"Slovak Rep.",96,95.2
"Switzerland",96,94.1
"Chile",96,96.4
"Netherlands",95.5,94.8
"Ireland",95.2,92.9
"United States",95,92
"United Kingdom",95,93
"Israel",95,98
"Norway",95,95
"Slovenia",95,94
"Latvia",94.9,96
"Lithuania",93.5,94.2
"Estonia",93.2,93.4
"Italy",93.2,85.2
"Costa Rica",93.2,93
"Australia",93.1,94.7
"Austria",93,96
"Czechia",93,99
"New Zealand",92.3,92.6
"Iceland",92,93
"Colombia",91.4,94
"Canada",91,89
"Denmark",90,88
"Mexico",87.1,97
