"Child vaccination rates"
"% of children under 1 year old, 2011"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Japan",101.9,93.6
"Hungary",99.8,99.9
"Greece",99.2,99
"Luxembourg",99,96
"Slovak Rep.",99,98.3
"Poland",99,98
"France",99,89
"Czechia",99,98
"Finland",98.9,97
"Belgium",98,95
"Sweden",98,97
"Mexico",97.3,98.4
"Türkiye",97,98
"Portugal",97,97
"Spain",97,96.8
"Netherlands",96.7,95.9
"United States",96,92
"Germany",96,96.4
"Switzerland",96,93
"Slovenia",96,96
"Italy",95.8,90.1
"Iceland",95.4,94.3
"United Kingdom",95,90
"Ireland",95,92
"New Zealand",94.5,93.3
"Israel",94,97
"Norway",94,93
"Chile",93.7,90.8
"Estonia",93.4,93.9
"Lithuania",92.4,93.7
"Australia",92,94
"Latvia",92,92
"Denmark",91,87
"Austria",89,84
"Canada",87,88
"Korea",86.3,88
"Colombia",85.3,87.6
"Costa Rica",85.2,83
