"Child vaccination rates"
"% of children under 1 year old, 2017"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Japan",102.4,102.5
"Hungary",99.9,99.9
"Greece",99.5,97
"Luxembourg",99,99
"Germany",99,97.1
"Portugal",98.1,98
"Latvia",98.1,96.4
"Israel",98,98
"Czechia",98,97
"Belgium",97.8,96
"Korea",97.4,97.4
"Costa Rica",97.2,96
"Sweden",97,97
"Switzerland",96.5,95.1
"Slovak Rep.",96.4,95.8
"France",96.1,90.3
"Türkiye",96,96
"Poland",96,94
"Norway",96,96
"Denmark",95,94
"Italy",95,91.6
"Ireland",94.8,92
"Australia",94.8,94
"Spain",94.8,97.7
"Slovenia",94.2,93
"United States",94,91
"United Kingdom",94,92
"Netherlands",93.9,92.9
"New Zealand",93.7,93.3
"Lithuania",93.7,93.5
"Chile",93,93
"Estonia",92.8,93.3
"Colombia",91.6,93.1
"Canada",91,90
"Iceland",91,92
"Austria",89.9,96
"Finland",88.6,94
"Mexico",85,76
