"Child vaccination rates"
"% of children under 1 year old, 2012"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Japan",102.7,95.7
"Hungary",99.9,99.8
"Greece",99.5,99
"Luxembourg",99,99
"Poland",99,97.9
"France",99,91
"Finland",99,97
"Belgium",98.9,96
"Mexico",98.8,98.8
"Slovak Rep.",98.7,99
"Portugal",98,97
"Sweden",98,98
"Türkiye",97,96
"Netherlands",96.7,96.1
"Spain",96.3,97.4
"Germany",96,96.6
"Switzerland",96,93
"Slovenia",96,95
"Italy",96,90.3
"Korea",95.8,94.8
"Czechia",95.8,98
"Ireland",95.5,92.4
"United Kingdom",95,92
"Norway",95,94
"Estonia",94.2,93.6
"United States",94,91
"Israel",94,96
"New Zealand",93.2,92.4
"Lithuania",92.8,93.4
"Australia",92.2,94.4
"Austria",92,88
"Colombia",91.8,93.8
"Denmark",91,87
"Canada",91,89
"Latvia",91,90
"Costa Rica",91,91.5
"Chile",89.9,89.9
"Iceland",89,90
