"Child vaccination rates"
"% of children under 1 year old, 2020"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Latvia",100.2,98.9
"Hungary",99.9,99.8
"Greece",99.5,97
"Luxembourg",99,99
"Germany",99,97.2
"Portugal",98.8,99
"Türkiye",98.4,95
"Israel",97.7,98.8
"Korea",97.6,97.3
"Belgium",97.3,96
"Norway",97.1,96.7
"Slovak Rep.",97,96
"Sweden",97,97
"Costa Rica",97,94.9
"Czechia",96.8,94.4
"Switzerland",96.5,97.1
"Japan",96.2,98.5
"Denmark",96,93.6
"Finland",96,95
"Australia",95.4,93
"Slovenia",95.2,94
"Spain",94.3,96.3
"Ireland",94.2,91.8
"Netherlands",94.2,93.6
"Italy",93.7,91.9
"Iceland",93.4,92.9
"United States",93,91
"United Kingdom",93,91.1
"Chile",92.7,90.9
"New Zealand",92,91.5
"Canada",92,90
"Lithuania",91.4,90.1
"France",91,92
"Estonia",91,90.8
"Poland",90,80.3
"Colombia",87.9,90.5
"Mexico",85.8,92
"Austria",84.6,95
