"Child vaccination rates"
"% of children under 1 year old, 2013"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Japan",102.1,95.3
"Hungary",99.8,99.9
"Greece",99.5,99
"Luxembourg",99,99
"Poland",99,97.5
"France",99,90
"Belgium",98.9,96
"Finland",98.4,97
"Türkiye",98,98
"Portugal",98,98
"Sweden",98,97
"Slovak Rep.",97.9,98.2
"Korea",97.1,96.7
"Netherlands",96.6,96
"Germany",96,96.7
"Switzerland",96,93
"Israel",96,98
"Italy",96,90
"Spain",95.6,95.3
"Ireland",95.5,93
"Costa Rica",95.5,91.3
"Austria",95,92
"United Kingdom",95,93
"Slovenia",95,94
"United States",94,92
"Latvia",94,96
"Norway",94,93
"Czechia",94,99
"Estonia",93.6,93.7
"Lithuania",93.2,93.3
"New Zealand",92.5,92.4
"Australia",91.4,93.7
"Iceland",91.2,91.3
"Denmark",91,86
"Canada",91,90
"Colombia",90.8,92.4
"Chile",89.6,89.6
"Mexico",82.7,88.7
